rank,ticker,composite_score,momentum,volume,news,social,fundamentals,capitol_hill,price_usd,llm_reason,run_timestamp
1,TSLA,5.8645,8.94,0.0,10.0,6.0,4.3435,3.5,425.435,Composite score ranking (LLM output malformed),20260515_105953
2,AMD,6.6297,7.7186,0.0,10.0,6.0,6.573,8.0,431.505,Composite score ranking (LLM output malformed),20260515_105953
3,META,6.2852,5.1262,0.0,10.0,6.0,7.7334,8.0,614.66,Composite score ranking (LLM output malformed),20260515_105953
4,AMZN,5.8818,4.0556,0.0,10.0,6.0,6.4715,8.0,263.01,Composite score ranking (LLM output malformed),20260515_105953
5,ANY,7.03,9.2683,5.0671,10.0,6.0,5.1085,5.0,2.34,Composite score ranking (LLM output malformed),20260515_105953
6,KLAR,7.4693,7.7383,10.0,10.0,4.8,6.344,5.0,15.18,Composite score ranking (LLM output malformed),20260515_105953
7,CSCO,7.2692,10.0,6.0998,10.0,2.4,5.2949,8.0,116.945,Composite score ranking (LLM output malformed),20260515_105953
8,WRAP,7.2255,8.5402,9.4681,10.0,2.4,6.582,5.0,1.555,Composite score ranking (LLM output malformed),20260515_105953
9,POET,7.0589,10.0,2.6425,10.0,6.0,6.75,5.0,18.365,Composite score ranking (LLM output malformed),20260515_105953
10,GEN,6.9213,10.0,0.0,10.0,6.0,8.4751,5.0,23.235,Composite score ranking (LLM output malformed),20260515_105953
11,HBM,6.7969,9.3282,0.0999,10.0,6.0,8.4416,5.0,25.205,Composite score ranking (LLM output malformed),20260515_105953
12,PM,6.7313,10.0,0.1394,10.0,3.6,4.4691,10.0,191.6,Composite score ranking (LLM output malformed),20260515_105953
13,CRWD,6.5706,10.0,0.0217,10.0,4.8,5.8155,6.5,587.46,Composite score ranking (LLM output malformed),20260515_105953
14,KGS,6.5669,8.0653,10.0,10.0,2.4,2.2925,5.0,73.88,Composite score ranking (LLM output malformed),20260515_105953
15,MO,6.5177,8.5912,0.0,10.0,6.0,7.6633,5.0,72.56,Composite score ranking (LLM output malformed),20260515_105953
16,VG,6.3972,7.4808,0.0,10.0,6.0,8.3403,5.0,13.905,Composite score ranking (LLM output malformed),20260515_105953
17,UMAC,6.3774,9.1895,2.7801,10.0,2.4,6.75,5.0,15.49,Composite score ranking (LLM output malformed),20260515_105953
18,MU,6.3112,10.0,0.0,10.0,6.0,7.4078,2.0,732.37,Composite score ranking (LLM output malformed),20260515_105953
19,GO,6.3085,3.6801,7.6906,10.0,6.0,5.126,5.0,7.625,Composite score ranking (LLM output malformed),20260515_105953
20,QUBT,6.2854,9.7432,1.4284,10.0,2.4,6.75,5.0,10.65,Composite score ranking (LLM output malformed),20260515_105953
21,BE,6.2831,8.1029,0.0,10.0,6.0,6.75,5.0,278.75,Composite score ranking (LLM output malformed),20260515_105953
22,MRNA,6.2762,5.8186,0.0,10.0,6.0,6.75,8.0,48.24,Composite score ranking (LLM output malformed),20260515_105953
23,UNH,6.2427,8.3426,0.0,10.0,4.8,4.3615,8.0,395.69,Composite score ranking (LLM output malformed),20260515_105953
24,MRVL,6.2425,9.4502,0.6597,10.0,0.0,6.0235,9.0,177.56,Composite score ranking (LLM output malformed),20260515_105953
25,VERA,6.2419,9.2002,0.0121,10.0,6.0,5.0,5.0,38.32,Composite score ranking (LLM output malformed),20260515_105953
26,VRTX,6.2176,8.6766,0.0,10.0,0.0,6.5484,10.0,443.6225,Composite score ranking (LLM output malformed),20260515_105953
27,UBS,6.2164,7.8974,0.0,10.0,4.8,7.7792,5.0,45.64,Composite score ranking (LLM output malformed),20260515_105953
28,CME,6.2154,8.4579,0.0,10.0,6.0,5.8254,5.0,300.925,Composite score ranking (LLM output malformed),20260515_105953
29,BOT,6.15,5.0,5.0,10.0,6.0,5.0,5.0,27.995,Composite score ranking (LLM output malformed),20260515_105953
30,COST,6.117,7.9514,0.0,10.0,6.0,5.845,5.0,1050.44,Composite score ranking (LLM output malformed),20260515_105953
31,WELL,6.0966,7.2835,0.0087,10.0,6.0,6.5905,5.0,216.04,Composite score ranking (LLM output malformed),20260515_105953
32,GAIN,6.084,5.3401,1.1573,10.0,6.0,7.949,5.0,16.37,Composite score ranking (LLM output malformed),20260515_105953
33,EBAY,6.0723,8.4727,0.0,10.0,2.4,5.4514,8.0,114.29,Composite score ranking (LLM output malformed),20260515_105953
34,NGG,6.057,6.5676,7.7041,10.0,0.0,5.5855,5.0,80.49,Composite score ranking (LLM output malformed),20260515_105953
35,APLS,6.0524,4.9813,10.0,10.0,0.0,5.3741,5.0,41.03,Composite score ranking (LLM output malformed),20260515_105953
36,AMP,6.051,6.9109,0.0,10.0,6.0,8.292,3.5,474.23,Composite score ranking (LLM output malformed),20260515_105953
37,EHAB,6.0382,5.0648,10.0,10.0,0.0,5.168,5.0,13.8,Composite score ranking (LLM output malformed),20260515_105953
38,HIT,6.0363,0.4349,10.0,10.0,6.0,5.329,5.0,1.14,Composite score ranking (LLM output malformed),20260515_105953
39,SEDG,5.9452,10.0,1.5155,10.0,0.0,6.4525,5.0,54.87,Composite score ranking (LLM output malformed),20260515_105953
40,ST,5.9424,9.8022,1.3296,10.0,2.4,4.4835,5.0,48.005,Composite score ranking (LLM output malformed),20260515_105953
41,VNET,5.9309,8.812,3.7709,10.0,0.0,5.686,5.0,9.99,Composite score ranking (LLM output malformed),20260515_105953
42,OGC,5.9172,8.3362,0.0,10.0,0.0,10.0,5.0,30.83,Composite score ranking (LLM output malformed),20260515_105953
43,LUMN,5.9141,9.9671,3.1161,10.0,0.0,4.6885,5.0,10.2326,Composite score ranking (LLM output malformed),20260515_105953
44,PUMP,5.9136,8.2163,0.0,10.0,6.0,4.1355,5.0,17.13,Composite score ranking (LLM output malformed),20260515_105953
45,AMAT,5.913,7.7386,3.1918,10.0,2.4,5.1765,5.0,434.94,Composite score ranking (LLM output malformed),20260515_105953
46,EOSE,5.842,9.2696,1.5041,10.0,0.0,6.75,5.0,7.83,Composite score ranking (LLM output malformed),20260515_105953
47,APPS,5.8383,6.7086,0.2064,10.0,6.0,5.4375,5.0,4.21,Composite score ranking (LLM output malformed),20260515_105953
48,STX,5.8369,6.2892,0.0,10.0,2.4,6.7935,8.0,780.05,Composite score ranking (LLM output malformed),20260515_105953
49,LOT,5.791,9.2498,0.0,8.75,6.0,3.607,5.0,1.37,Composite score ranking (LLM output malformed),20260515_105953
50,FIX,5.7692,6.9264,0.0,10.0,6.0,4.893,5.0,1967.645,Composite score ranking (LLM output malformed),20260515_105953
