Date,Close,High,Low,Open,Volume
2011-05-13,2.339600086212158,2.387346980282784,2.307768823498408,2.387346980282784,22200
2011-05-16,2.355515480041504,2.371431109793465,2.3395998502895425,2.371431109793465,12200
2011-05-17,2.3157262802124023,2.3395997235470545,2.2759370182587197,2.307768465767518,21700
2011-05-18,2.3873467445373535,2.403262374322594,2.3555154849668725,2.3555154849668725,31500
2011-05-19,2.435093879699707,2.4510095110915255,2.395304801220161,2.395304801220161,8700
2011-05-20,2.610165596008301,2.610165596008301,2.466924746731776,2.466924746731776,26400
2011-05-23,2.5465033054351807,2.5783345659221126,2.5465033054351807,2.5783345659221126,6500
2011-05-24,2.665870428085327,2.665870428085327,2.602207909599242,2.602207909599242,6200
2011-05-25,2.697702169418335,2.7136178007646965,2.6738285326695013,2.689744353745154,12200
2011-05-26,2.6419973373413086,2.65791296909348,2.6419973373413086,2.65791296909348,1800
2011-05-27,2.697702169418335,2.697702169418335,2.689744353745154,2.689744353745154,3600
2011-05-31,2.5465033054351807,2.618123641530778,2.5385454903134477,2.618123641530778,29300
2011-06-01,2.5385453701019287,2.594250073316192,2.530587555357034,2.530587555357034,8000
2011-06-02,2.5624189376831055,2.5703767528110637,2.4987564166594414,2.5465033074271894,20000
2011-06-03,2.6340391635894775,2.689744056882986,2.610165719204804,2.610165719204804,43700
2011-06-06,2.697702169418335,2.7215756164378773,2.65791290132314,2.6738285326695013,61200
2011-06-07,2.9046053886413574,2.95235227975427,2.713617634460429,2.761364525573341,32200
2011-06-08,2.673828363418579,2.904605382791425,2.673828363418579,2.872773932384313,29700
2011-06-09,2.7295334339141846,2.77728032798481,2.6897443555219964,2.6897443555219964,10300
2011-06-10,3.0000991821289062,3.008056997344264,2.705659829431406,2.785237981584979,68300
2011-06-13,2.856858015060425,2.9364363484902642,2.777279871359846,2.9125629053800908,37100
2011-06-14,2.840942859649658,2.888689943554405,2.832985043953749,2.880731938129204,9500
2011-06-15,2.8011536598205566,2.8250271058740557,2.777280213767057,2.777280213767057,20400
2011-06-16,2.7136173248291016,2.761364210493961,2.7056595105516252,2.761364210493961,3500
2011-06-17,2.610165596008301,2.713617373188363,2.610165596008301,2.713617373188363,3800
2011-06-20,2.5703771114349365,2.62608182510267,2.5703771114349365,2.6101661926261746,4000
2011-06-21,2.6340391635894775,2.6340391635894775,2.4987563120763285,2.50671412687122,54000
2011-06-22,2.697702169418335,2.7136178007646965,2.65791290132314,2.65791290132314,14100
2011-06-23,2.586292266845703,2.618123525927121,2.570376637304994,2.618123525927121,19200
2011-06-24,2.522630214691162,2.5942505608548583,2.5067145822103405,2.5942505608548583,32600
2011-06-27,2.451009511947632,2.4987565958690565,2.451009511947632,2.4987565958690565,12600
2011-06-28,2.5624189376831055,2.5624189376831055,2.5385454922992317,2.5624189376831055,10700
2011-06-29,2.6499550342559814,2.6817862963313597,2.6499550342559814,2.6817862963313597,3500
2011-06-30,2.6499550342559814,2.657912849774826,2.6499550342559814,2.657912849774826,31700
2011-07-01,2.6499550342559814,2.7136177481360257,2.6499550342559814,2.6499550342559814,4000
2011-07-05,2.761364221572876,2.793195478810493,2.7056595214070467,2.729532964335259,7300
