Date,Close,High,Low,Open,Volume
2011-05-13,18.721317291259766,19.151579867487055,18.65404586785004,19.13616375023113,8196000
2011-05-16,18.91472625732422,19.45290434028981,18.614802975726548,18.823627614625,6957500
2011-05-17,18.815214157104492,19.046462542510202,18.589571388138925,18.874077139465946,7556000
2011-05-18,19.64771270751953,19.852332455402273,18.789990382453272,18.95957301493483,12232000
2011-05-19,19.821504592895508,20.2433588548022,19.451506987538284,19.792073086703972,13111000
2011-05-20,19.489343643188477,20.25456529608625,19.423472953992672,19.787864853744153,17318500
2011-05-23,20.70724868774414,20.736680182692673,19.267902897524177,19.535590497220035,21220500
2011-05-24,20.53907012939453,20.896454321065463,20.463388944127548,20.739486332831802,11464000
2011-05-25,21.161334991455078,21.5047037350171,20.5460737940281,20.5460737940281,17868000
2011-05-26,21.049217224121094,21.44724545644136,20.967930427102257,21.113685832691175,10760500
2011-05-27,21.74997901916504,21.9111519427053,21.19498258442831,21.21740639928439,10408000
2011-05-31,21.552352905273438,22.20265113346459,21.267847179831083,22.152196580353767,11484000
2011-06-01,20.75630760192871,21.59160490922085,20.659603331070354,21.55236290634047,11630000
2011-06-02,21.049217224121094,21.379972702646334,20.69743867588986,20.770317046974412,9606500
2011-06-03,21.220205307006836,21.30429626798003,20.57691446773871,20.80816293968939,10273500
2011-06-06,20.75630760192871,21.682702224967382,20.56850467874334,21.13050870221541,10401000
2011-06-07,20.6119441986084,21.022585682357,20.32183282627843,20.949707321168987,10619000
2011-06-08,20.829181671142578,21.023990908816753,20.282593880232913,20.676417236898313,11680500
2011-06-09,21.703720092773438,21.79341665065985,21.144519012715126,21.284670135021425,15635000
2011-06-10,21.381372451782227,21.891521025827238,21.225806554826978,21.58739424833504,9966000
2011-06-13,21.042207717895508,21.845270466539,20.892246107413577,21.443038724261562,7793500
2011-06-14,21.639251708984375,21.733153154821057,20.99315816963014,21.280466788150694,10279000
2011-06-15,20.742292404174805,21.40100070438515,20.51384673972725,21.3869853213512,12409000
2011-06-16,19.956037521362305,20.9160680527783,19.309942857343692,20.78432672654409,19478500
2011-06-17,19.068893432617188,20.265779865160553,18.864273654116477,20.131235664528145,23861500
2011-06-20,19.420671463012695,19.565026159927047,18.944159152010993,19.452905773406698,16095000
2011-06-21,20.571304321289062,20.60353862565855,19.56221969462089,19.623885494707764,11313000
2011-06-22,20.006500244140625,20.738086910666468,19.95744774154817,20.442369822217472,9704000
2011-06-23,20.037334442138672,20.045744206605058,19.200635053079985,19.661731264958966,11411500
2011-06-24,19.712175369262695,20.568495363082913,19.703766945273927,20.070961524380888,8495000
2011-06-27,20.178882598876953,20.349867300029512,19.63369686278274,19.869150175529356,8149500
