Date,Close,High,Low,Open,Volume
2011-05-13,12.589420318603516,12.942559396032095,12.48347859537494,12.916074175712446,20300
2011-05-16,12.448163032531738,12.774816846208973,12.439334346282386,12.46581956308058,21800
2011-05-17,12.139167785644531,12.359879927201705,12.033226058731088,12.359879927201705,27000
2011-05-18,12.6423921585083,12.818962558715453,12.430508688599797,12.430508688599797,6200
2011-05-19,12.924901008605957,12.951386225125376,12.801301928265584,12.916072322449534,13400
2011-05-20,13.022015571594238,13.074986852851923,12.995530351940372,13.022015571594238,9300
2011-05-23,13.057329177856445,13.057329177856445,13.057329177856445,13.057329177856445,700
2011-05-24,13.154444694519043,13.34867163542519,13.154444694519043,13.225072519948533,10900
2011-05-25,13.110300064086914,13.225069623814086,13.110300064086914,13.207413092298331,2300
2011-05-26,13.357495307922363,13.357495307922363,13.030841527492443,13.030841527492443,5000
2011-05-27,13.260385513305664,13.357498549884674,13.260385513305664,13.348669862391134,1600
2011-05-31,13.31335735321045,13.31335735321045,13.269214753054632,13.286872129896986,2000
2011-06-01,13.42812728881836,13.843066368082843,13.225071672261256,13.313356869364352,12700
2011-06-02,13.163270950317383,13.36632654236051,13.092643137941497,13.36632654236051,8100
2011-06-03,13.913690567016602,13.949004468275026,13.587036769888714,13.587036769888714,2600
2011-06-06,13.560553550720215,13.631181368019538,13.54289701737038,13.631181368019538,10600
2011-06-07,13.392812728881836,13.701810061807784,13.392812728881836,13.701810061807784,2900
2011-06-08,13.331016540527344,13.339844388197355,13.29570262399675,13.339844388197355,12300
2011-06-09,13.7106351852417,13.719463871160906,13.587036950172122,13.587036950172122,3100
2011-06-10,13.7106351852417,13.7106351852417,13.7106351852417,13.7106351852417,0
2011-06-13,13.42812728881836,13.525240332071732,13.42812728881836,13.481098575470224,1100
2011-06-14,13.525240898132324,13.525240898132324,13.48992698620313,13.48992698620313,1600
2011-06-15,13.631180763244629,13.64000945050284,13.52523904199596,13.587039010853484,3400
2011-06-16,13.66649341583252,13.71063600612162,13.66649341583252,13.71063600612162,7000
2011-06-17,13.357495307922363,13.701806459053792,13.357495307922363,13.684149088352283,8300
2011-06-20,13.366323471069336,13.366323471069336,13.339837416051846,13.366323471069336,9100
2011-06-21,14.090261459350586,14.16089011076491,13.68415113395521,13.68415113395521,11800
2011-06-22,14.619972229003906,14.628800917002165,13.940179250188582,13.940179250188582,12700
2011-06-23,14.469888687133789,14.469888687133789,14.090264344030054,14.178548702959958,12200
2011-06-24,14.046121597290039,14.116749420478357,14.037292908903982,14.116749420478357,8800
2011-06-27,14.125578880310059,14.125578880310059,13.904866710305214,13.904866710305214,7900
2011-06-28,14.054948806762695,14.054948806762695,14.019634898884396,14.019634898884396,6000
2011-06-29,14.664119720458984,14.91131631710648,14.558177119109684,14.558177119109684,22000
2011-06-30,14.664119720458984,14.664119720458984,14.664119720458984,14.664119720458984,0
2011-07-01,14.505199432373047,14.505199432373047,14.505199432373047,14.505199432373047,1400
2011-07-05,15.538128852844238,15.644069695197418,14.814193589133314,14.849506641951264,7500
2011-07-06,14.82302188873291,15.282101666851517,14.82302188873291,15.273272982901256,15000
2011-07-07,14.372773170471191,14.823026075719525,14.310972365362794,14.823026075719525,5000
2011-07-08,14.831854820251465,14.831854820251465,14.293318355111474,14.293318355111474,11400
2011-07-11,14.690596580505371,14.955452106218122,14.690596580505371,14.946623420304398,17100
2011-07-12,14.770054817199707,14.770054817199707,14.505200944053094,14.708255692392154,1800
2011-07-13,15.458677291870117,15.54696247782086,14.867168735069951,14.867168735069951,4500
2011-07-14,15.838302612304688,16.06784342510909,15.617590486596596,15.617590486596596,2400
2011-07-15,16.376842498779297,16.376842498779297,15.891276393644693,15.908933771551467,5100
2011-07-18,16.941864013671875,17.06546227085855,16.57989624571093,16.57989624571093,31600
2011-07-19,16.81826400756836,16.986005701601783,16.668179688464758,16.97717701413687,17800
2011-07-20,17.08311653137207,17.08311653137207,16.526921107634102,16.65052102618679,6400
2011-07-21,16.959524154663086,17.321493701498696,16.791784099869,16.86241193449293,2800
2011-07-22,16.69466209411621,16.986001981044378,16.677004723053997,16.906545495164007,3300
2011-07-25,16.55341339111328,16.994837748209637,16.45629949370399,16.791782948081384,6000
2011-07-26,16.677003860473633,16.79177508254215,16.677003860473633,16.685832545548095,4800
2011-07-27,16.48278045654297,16.48278045654297,16.48278045654297,16.48278045654297,6600
2011-07-28,16.200273513793945,16.200273513793945,15.626422212151152,16.014874416521536,11600
2011-07-29,15.670559883117676,16.067842356531273,15.670559883117676,16.067842356531273,15500
2011-08-01,15.299762725830078,15.396876588812454,15.299762725830078,15.396876588812454,1400
2011-08-02,16.650527954101562,16.7741262401811,15.767679204618348,15.767679204618348,22200
2011-08-03,17.136091232299805,17.30383293819328,16.99483559067374,16.99483559067374,4900
2011-08-04,15.7588472366333,16.729980995813225,15.476335964995505,16.571067984541962,6800
2011-08-05,15.10554027557373,15.538135892967764,14.717086415177011,15.538135892967764,9300
2011-08-08,16.05902099609375,16.46513065738261,15.28211306786209,15.308599139472445,22000
2011-08-09,16.827089309692383,16.92420316836871,15.98838437605917,16.173781723823485,14400
2011-08-10,16.827089309692383,16.827089309692383,16.45629293026413,16.79177625083711,14100
2011-08-11,16.297378540039062,16.579891405839614,16.15612294908852,16.279722854094846,14800
2011-08-12,16.24441146850586,16.253240155250623,15.988386288506979,16.173783658447565,4300
2011-08-15,16.315034866333008,16.315034866333008,16.09432280910264,16.13846623088833,4100
2011-08-16,16.509267807006836,16.61520868520009,16.45629568401031,16.48278174550857,2400
2011-08-17,16.60637664794922,16.703490503285035,16.429807991947207,16.509264476512957,3900
